"Title","Title_URL","Info","Content","Content1","blokobutton_URL"
"Инженер","https://ekaterinburg.hh.ru/vacancy/69293338?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Белгород","Сбор исходных данных о проектируемом объекте, анализ технического задания и технических условий. Разработка проектной и рабочей документации марки КМ.","От 5 лет опыта работы в роли инженера-строителя. Высшее профессиональное образование (инженерные специальности). Готовность к краткосрочным командировкам.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69293338&hhtmFrom=vacancy_search_list"
"Главный агроном (Алтайский край)","https://ekaterinburg.hh.ru/vacancy/67761953?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Барнаул","Руководство организационно-техническое растениеводческой деятельностью предприятия. Внедрение передовых технологий производства продукции растениеводства, обеспечивающих повышение плодородия земли. Внедрение прогрессивных технологий борьбы...","Высшее профессиональное (Агрономическое) образование. Опыт работы на роли Главного агронома от 3-ех лет. Опыт заготовки кормов для КРС.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=67761953&hhtmFrom=vacancy_search_list"
"Слесарь-инструментальщик","https://ekaterinburg.hh.ru/vacancy/67848951?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","Производство, ремонт и эксплуатация сложных профессиональных инструментов. Производство и ремонт различных шаблонов. Работы по доводке, протирке, изготовлению деталей с фигурным...","Среднее профессиональное образование, высшее образование. Опыт работы от 3-х лет.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=67848951&hhtmFrom=vacancy_search_list"
"Водитель автомобиля","https://ekaterinburg.hh.ru/vacancy/69323342?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Подольск (Московская область)","Управление грузовым автомобилем МАЗ/КАМАЗ с КМУ.","Наличие прав категории С Е. Знание карт тахографа. Опыт работы не менее года.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69323342&hhtmFrom=vacancy_search_list"
"Старший аналитик (исследование рынка)","https://ekaterinburg.hh.ru/vacancy/69107140?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Сбор аналитики по рынкам и конкурентам. Подготовка аналитических отчетов по продуктовому портфелю. Подготовка к рассмотрению проектов в рамках Stage-Gate.","Высшее техническое либо экономическое/математическое образование. Опыт работы в маркетинговых или аналитических подразделениях промышленных или высокотехнологических компаний с фокусом на...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69107140&hhtmFrom=vacancy_search_list"
"Главный специалист по корпоративной культуре","https://ekaterinburg.hh.ru/vacancy/69306012?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Заринск","Управление корпоративной культурой и вовлеченностью, социальными программами. Организация внутренних социальных программ: корпоративные исследования (опросы), программы признания, спортивные мероприятия, программы здоровья...","Высшее профессиональное образование. От 1 года релевантного опыта работы. Опыт работы, связанный с организацией мероприятий по различным направлениям: спорт, культурно...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69306012&hhtmFrom=vacancy_search_list"
"Мастер по ремонту оборудования","https://ekaterinburg.hh.ru/vacancy/69480741?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Обеспечивать безаварийную работу оборудования. Общее техническое и оперативное руководство при эксплуатации оборудования. Подготовка рабочих мест и допуск по нарядам-допускам...","Опыт работы мастером по ремонту и обслуживанию металлургического оборудования от 3 лет. Высшее техническое образование. Уверенный пользователь ПК.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69480741&hhtmFrom=vacancy_search_list"
"Инженер (по АСУТП, г. Екатеринбург ""ВИЗ-Сталь"")","https://ekaterinburg.hh.ru/vacancy/69964892?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","1. Обеспечение работоспособного состояния оборудования АСУТП и КИПиА участка, задействованного в основном цикле производства. 2. Выполнение требований нормативной документации при...","Высшее профессиональное (техническое)/среднее профессиональное образование по направлению автоматизация и/или электропривод. Уверенный пользователь ПК, (word, excel).","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69964892&hhtmFrom=vacancy_search_list"
"Слесарь-электрик по ремонту электрооборудования (работа по совместительству)","https://ekaterinburg.hh.ru/vacancy/69758095?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Нижний Тагил","Ремонт электрооборудования участка, в т.ч. кранов ГПК-5. Работа неполный рабочий день, можно совмещать с другой работой.","Наличие профильного образования. Опыт работы.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69758095&hhtmFrom=vacancy_search_list"
"Маркетолог-аналитик (Junior)","https://ekaterinburg.hh.ru/vacancy/69570295?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Ценообразование на продукцию (формирование прайса в зависимости от текущей рыночной ситуации и внутренних задач компании). Согласование запрашиваемых сотрудниками отдела сбыта...","Высшее образование (Экономика, Маркетинг, Менеджмент, Материаловедение и технологии материалов, Металлургия). Проактивность, гибкость мышления, умение находить нестандартные решения и работать в...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69570295&hhtmFrom=vacancy_search_list"
